"id"	"name"
"444"	"ENSG00000225828.1"	"FAM229A"
"445"	"ENSG00000160058.18"	"BSDC1"
"446"	"ENSG00000254553.1"	"AL033529.1"
"447"	"ENSG00000273274.1"	"ZBTB8B"
"448"	"ENSG00000160062.14"	"ZBTB8A"
"449"	"ENSG00000176261.15"	"ZBTB8OS"
"450"	"ENSG00000162521.18"	"RBBP4"
"451"	"ENSG00000162520.14"	"SYNC"
"452"	"ENSG00000162522.10"	"KIAA1522"
"453"	"ENSG00000134684.10"	"YARS"
"454"	"ENSG00000116497.17"	"S100PBP"
"455"	"ENSG00000160097.16"	"FNDC5"
"456"	"ENSG00000121905.9"	"HPCA"
"457"	"ENSG00000121900.18"	"TMEM54"
"458"	"ENSG00000116514.16"	"RNF19B"
"459"	"ENSG00000004455.16"	"AK2"
"460"	"ENSG00000142920.16"	"AZIN2"
"461"	"ENSG00000116525.13"	"TRIM62"
"462"	"ENSG00000160094.14"	"ZNF362"
"463"	"ENSG00000184389.9"	"A3GALT2"
"464"	"ENSG00000134686.18"	"PHC2"
"465"	"ENSG00000121903.14"	"ZSCAN20"
"466"	"ENSG00000121904.17"	"CSMD2"
"467"	"ENSG00000176256.10"	"HMGB4"
"468"	"ENSG00000142698.14"	"C1orf94"
"469"	"ENSG00000163866.8"	"SMIM12"
"470"	"ENSG00000189280.3"	"GJB5"
"471"	"ENSG00000189433.5"	"GJB4"
"472"	"ENSG00000188910.7"	"GJB3"
"473"	"ENSG00000187513.8"	"GJA4"
"474"	"ENSG00000116544.11"	"DLGAP3"
"475"	"ENSG00000271741.1"	"AC114490.2"
"476"	"ENSG00000243749.1"	"TMEM35B"
"477"	"ENSG00000163867.16"	"ZMYM6"
"478"	"ENSG00000197056.9"	"ZMYM1"
"479"	"ENSG00000116560.10"	"SFPQ"
"480"	"ENSG00000146463.11"	"ZMYM4"
"481"	"ENSG00000142687.17"	"KIAA0319L"
"482"	"ENSG00000020129.15"	"NCDN"
"483"	"ENSG00000116819.6"	"TFAP2E"
"484"	"ENSG00000126067.11"	"PSMB2"
"485"	"ENSG00000142686.7"	"C1orf216"
"486"	"ENSG00000092853.13"	"CLSPN"
"487"	"ENSG00000134698.10"	"AGO4"
"488"	"ENSG00000092847.11"	"AGO1"
"489"	"ENSG00000126070.19"	"AGO3"
"490"	"ENSG00000092850.11"	"TEKT2"
"491"	"ENSG00000116863.10"	"ADPRHL2"
"492"	"ENSG00000171812.12"	"COL8A2"
"493"	"ENSG00000054116.11"	"TRAPPC3"
"494"	"ENSG00000116871.15"	"MAP7D1"
"495"	"ENSG00000054118.13"	"THRAP3"
"496"	"ENSG00000214193.10"	"SH3D21"
"497"	"ENSG00000142694.6"	"EVA1B"
"498"	"ENSG00000196182.10"	"STK40"
"499"	"ENSG00000181817.5"	"LSM10"
"500"	"ENSG00000116885.18"	"OSCP1"
"501"	"ENSG00000116898.11"	"MRPS15"
"502"	"ENSG00000119535.17"	"CSF3R"
"503"	"ENSG00000163873.9"	"GRIK3"
"504"	"ENSG00000163874.10"	"ZC3H12A"
"505"	"ENSG00000163875.15"	"MEAF6"
"506"	"ENSG00000163877.10"	"SNIP1"
"507"	"ENSG00000163879.10"	"DNALI1"
"508"	"ENSG00000134697.12"	"GNL2"
"509"	"ENSG00000169218.13"	"RSPO1"
"510"	"ENSG00000116922.14"	"C1orf109"
"511"	"ENSG00000134690.10"	"CDCA8"
"512"	"ENSG00000183317.16"	"EPHA10"
"513"	"ENSG00000185090.14"	"MANEAL"
"514"	"ENSG00000196449.3"	"YRDC"
"515"	"ENSG00000197982.13"	"C1orf122"
"516"	"ENSG00000188786.9"	"MTF1"
"517"	"ENSG00000204084.12"	"INPP5B"
"518"	"ENSG00000183431.11"	"SF3A3"
"519"	"ENSG00000183386.9"	"FHL3"
"520"	"ENSG00000183520.11"	"UTP11"
"521"	"ENSG00000185668.7"	"POU3F1"
"522"	"ENSG00000116954.7"	"RRAGC"
"523"	"ENSG00000214114.8"	"MYCBP"
"524"	"ENSG00000274944.4"	"AL139260.3"
"525"	"ENSG00000131233.9"	"GJA9"
"526"	"ENSG00000158315.10"	"RHBDL2"
"527"	"ENSG00000174574.15"	"AKIRIN1"
"528"	"ENSG00000168653.10"	"NDUFS5"
"529"	"ENSG00000127603.24"	"MACF1"
"530"	"ENSG00000183682.7"	"BMP8A"
"531"	"ENSG00000090621.13"	"PABPC4"
"532"	"ENSG00000163909.7"	"HEYL"
"533"	"ENSG00000116981.3"	"NT5C1A"
"534"	"ENSG00000116983.12"	"HPCAL4"
"535"	"ENSG00000084072.16"	"PPIE"
"536"	"ENSG00000116985.11"	"BMP8B"
"537"	"ENSG00000198754.5"	"OXCT2"
"538"	"ENSG00000043514.15"	"TRIT1"
"539"	"ENSG00000116990.10"	"MYCL"
"540"	"ENSG00000168389.17"	"MFSD2A"
"541"	"ENSG00000131236.16"	"CAP1"
"542"	"ENSG00000131238.17"	"PPT1"
"543"	"ENSG00000117000.8"	"RLF"
"544"	"ENSG00000188800.5"	"TMCO2"
"545"	"ENSG00000084073.8"	"ZMPSTE24"
"546"	"ENSG00000049089.13"	"COL9A2"
"547"	"ENSG00000084070.11"	"SMAP2"
"548"	"ENSG00000187801.14"	"ZFP69B"
"549"	"ENSG00000187815.9"	"ZFP69"
"550"	"ENSG00000164002.11"	"EXO5"
"551"	"ENSG00000117010.15"	"ZNF684"
"552"	"ENSG00000117016.9"	"RIMS3"
"553"	"ENSG00000066136.20"	"NFYC"
"554"	"ENSG00000117013.14"	"KCNQ4"
"555"	"ENSG00000179862.6"	"CITED4"
